archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia_rodilla,diferencia_pie
1,0,127.264,135.897,65.634,66.285,-8.633,-0.651
1,1,115.353,127.966,78.112,61.492,-12.613,16.62
1,2,101.338,116.58,65.265,60.567,-15.242,4.698
1,3,92.911,105.985,69.84,61.885,-13.074,7.955
1,4,83.408,94.74,70.88,73.714,-11.332,-2.834
1,5,74.912,88.061,76.692,72.07,-13.149,4.622
1,6,69.762,76.999,88.575,90.639,-7.237,-2.064
1,7,69.42,71.113,110.732,86.319,-1.693,24.413
1,8,67.154,66.673,77.096,84.9,0.481,-7.804
1,9,76.504,73.992,74.948,59.772,2.512,15.176
1,10,104.847,102.403,62.726,56.911,2.444,5.815
1,11,145.611,147.599,71.936,70.597,-1.988,1.339
1,12,170.17,166.42,74.129,83.689,3.75,-9.56
1,13,179.694,179.885,70.504,66.055,-0.191,4.449
1,14,177.216,178.054,65.372,52.576,-0.838,12.796
2,0,132.519,146.311,72.488,63.2,-13.792,9.288
2,1,125.477,140.816,83.107,58.995,-15.339,24.112
2,2,118.055,132.094,80.079,73.071,-14.039,7.008
2,3,108.005,119.253,68.186,65.217,-11.248,2.969
2,4,100.446,110.543,74.946,67.922,-10.097,7.024
2,5,90.678,101.111,71.826,125.879,-10.433,-54.053
2,6,82.652,95.567,74.778,103.76,-12.915,-28.982
2,7,73.949,81.025,70.56,95.368,-7.076,-24.808
2,8,65.189,62.421,99.8,92.011,2.768,7.789
2,9,67.14,60.464,80.527,92.16,6.676,-11.633
2,10,74.747,67.231,58.069,75.618,7.516,-17.549
2,11,100.952,96.985,66.927,153.32,3.967,-86.393
2,12,145.187,141.84,70.074,64.67,3.347,5.404
2,13,170.786,168.598,71.911,51.046,2.188,20.865
2,14,179.356,177.676,71.763,35.022,1.68,36.741
5,0,131.253,147.885,70.825,60.286,-16.632,10.539
5,1,123.609,140.733,75.069,61.888,-17.124,13.181
5,2,113.007,129.01,81.643,73.217,-16.003,8.426
5,3,104.953,118.915,71.8,69.403,-13.962,2.397
5,4,94.149,108.445,74.59,69.385,-14.296,5.205
5,5,87.813,94.846,75.687,77.662,-7.033,-1.975
5,6,78.561,86.629,77.358,94.587,-8.068,-17.229
5,7,72.569,76.174,105.975,88.343,-3.605,17.632
5,8,71.24,71.78,93.088,95.898,-0.54,-2.81
5,9,72.644,78.471,77.038,79.66,-5.827,-2.622
5,10,94.861,90.68,60.685,62.169,4.181,-1.484
5,11,133.811,134.566,70.423,59.468,-0.755,10.955
5,12,164.836,167.528,76.601,65.268,-2.692,11.333
5,13,178.698,175.275,68.796,69.785,3.423,-0.989
5,14,179.398,179.951,77.958,62.127,-0.553,15.831
6,0,80.431,93.631,73.139,85.376,-13.2,-12.237
6,1,72.322,81.692,69.097,88.18,-9.37,-19.083
6,2,68.302,73.929,95.34,90.81,-5.627,4.53
6,3,69.209,69.16,88.385,85.428,0.049,2.957
6,4,78.118,73.763,82.891,74.361,4.355,8.53
6,5,106.486,98.778,70.59,58.37,7.708,12.22
6,6,146.942,148.701,72.588,65.574,-1.759,7.014
6,7,170.147,170.503,85.811,65.34,-0.356,20.471
6,8,179.932,178.624,79.581,64.975,1.308,14.606
6,9,177.035,176.31,66.774,58.376,0.725,8.398
13,0,64.887,70.413,97.543,83.192,-5.526,14.351
13,1,58.859,60.943,88.672,79.179,-2.084,9.493
13,2,60.325,59.823,76.332,62.31,0.502,14.022
13,3,73.05,80.503,61.007,52.724,-7.453,8.283
13,4,106.348,112.411,60.576,52.872,-6.063,7.704
13,5,144.166,148.137,74.854,72.941,-3.971,1.913
14,0,72.474,73.978,1.324,79.32,-1.504,-77.996
14,1,66.112,64.94,109.992,80.291,1.172,29.701
14,2,66.629,66.946,173.291,68.475,-0.317,104.816
14,3,86.792,88.568,42.411,59.61,-1.776,-17.199
14,4,124.739,124.696,59.429,57.534,0.043,1.895
14,5,163.895,156.844,145.438,82.066,7.051,63.372
14,6,175.835,174.078,14.03,80.072,1.757,-66.042
15,0,66.185,67.34,94.766,81.452,-1.155,13.314
15,1,62.803,63.696,80.555,70.798,-0.893,9.757
15,2,71.755,74.028,62.015,55.662,-2.273,6.353
15,3,103.004,106.652,71.285,58.968,-3.648,12.317
15,4,138.012,144.315,82.376,62.466,-6.303,19.91
15,5,167.703,167.64,87.686,71.632,0.063,16.054
16,0,72.279,77.195,95.018,84.13,-4.916,10.888
16,1,67.824,68.157,89.673,76.973,-0.333,12.7
16,2,69.938,71.6,73.531,66.135,-1.662,7.396
16,3,88.209,89.247,63.748,59.771,-1.038,3.977
16,4,121.127,124.113,76.418,54.94,-2.986,21.478
16,5,159.474,159.31,88.174,55.519,0.164,32.655
16,6,166.696,174.778,96.614,82.827,-8.082,13.787
16,7,178.918,172.793,91.909,170.862,6.125,-78.953
17,0,67.736,74.318,87.738,76.716,-6.582,11.022
17,1,61.831,64.183,76.923,74.275,-2.352,2.648
17,2,64.932,67.377,70.05,63.482,-2.445,6.568
17,3,85.474,91.303,64.018,58.725,-5.829,5.293
17,4,118.422,129.854,70.333,33.644,-11.432,36.689
17,5,151.374,153.569,80.283,56.384,-2.195,23.899
17,6,168.769,167.896,87.554,99.543,0.873,-11.989
18,0,73.107,77.105,88.247,81.007,-3.998,7.24
18,1,69.843,75.184,81.428,63.493,-5.341,17.935
18,2,76.239,81.499,68.795,59.442,-5.26,9.353
18,3,102.478,104.65,70.646,60.069,-2.172,10.577
18,4,136.637,142.359,78.405,46.03,-5.722,32.375
18,5,162.377,157.137,103.04,74.787,5.24,28.253
18,6,171.811,173.477,97.061,69.881,-1.666,27.18
19,0,64.165,64.369,99.345,94.917,-0.204,4.428
19,1,58.676,59.252,97.134,75.147,-0.576,21.987
19,2,63.723,68.664,70.465,64.446,-4.941,6.019
19,3,86.604,94.294,58.547,60.314,-7.69,-1.767
19,4,118.564,136.098,71.765,52.205,-17.534,19.56
19,5,156.506,160.957,86.795,71.923,-4.451,14.872
19,6,167.624,174.313,108.741,81.525,-6.689,27.216
20,0,66.07,71.459,90.412,87.023,-5.389,3.389
20,1,62.013,63.731,78.582,76.587,-1.718,1.995
20,2,62.554,67.017,67.696,60.97,-4.463,6.726
20,3,83.399,90.258,61.572,56.334,-6.859,5.238
20,4,116.727,125.705,72.243,52.515,-8.978,19.728
20,5,146.887,152.242,82.773,63.711,-5.355,19.062
20,6,162.865,168.767,87.733,108.03,-5.902,-20.297
21,0,59.889,63.838,85.035,76.096,-3.949,8.939
21,1,58.711,59.744,69.191,63.248,-1.033,5.943
21,2,67.319,74.44,48.859,50.116,-7.121,-1.257
21,3,93.749,105.205,62.887,48.93,-11.456,13.957
21,4,127.68,136.429,71.456,62.686,-8.749,8.77
21,5,155.336,160.978,106.266,69.451,-5.642,36.815
21,6,171.449,173.094,113.67,97.976,-1.645,15.694
22,0,68.14,73.724,101.825,80.122,-5.584,21.703
22,1,64.342,69.051,88.108,73.049,-4.709,15.059
22,2,71.601,73.247,76.242,58.695,-1.646,17.547
22,3,93.203,97.755,68.878,60.39,-4.552,8.488
22,4,124.391,137.559,76.622,59.073,-13.168,17.549
22,5,154.976,159.107,93.185,63.856,-4.131,29.329
22,6,165.527,174.423,97.038,96.412,-8.896,0.626
23,0,66.386,69.432,93.449,85.033,-3.046,8.416
