archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia_rodilla,diferencia_pie
1,0,122.597,120.11,59.125,47.868,2.487,11.257
1,1,124.483,124.349,57.455,44.556,0.134,12.899
1,2,125.702,129.813,59.354,42.664,-4.111,16.69
1,3,121.152,125.265,57.162,41.901,-4.113,15.261
1,4,108.341,115.868,57.497,38.634,-7.527,18.863
1,5,100.511,106.525,56.521,40.937,-6.014,15.584
1,6,96.294,100.69,53.656,44.707,-4.396,8.949
1,7,93.907,101.834,55.567,44.27,-7.927,11.297
1,8,95.739,106.056,52.268,45.923,-10.317,6.345
1,9,96.987,111.146,51.251,44.469,-14.159,6.782
1,10,98.56,110.974,50.627,48.6,-12.414,2.027
1,11,103.303,114.544,49.284,48.799,-11.241,0.485
1,12,106.143,113.071,49.284,52.536,-6.928,-3.252
1,13,106.339,120.058,49.284,51.9,-13.719,-2.616
1,14,109.553,120.863,49.284,51.431,-11.31,-2.147
1,15,114.012,126.897,49.284,49.455,-12.885,-0.171
1,16,116.545,126.944,49.284,45.582,-10.399,3.702
1,17,121.563,125.936,49.284,47.503,-4.373,1.781
2,0,120.176,126.182,61.113,45.746,-6.006,15.367
2,1,123.155,125.296,60.131,46.975,-2.141,13.156
2,2,125.278,126.635,55.505,44.491,-1.357,11.014
2,3,120.996,127.34,59.207,45.107,-6.344,14.1
2,4,113.836,121.336,49.516,41.974,-7.5,7.542
2,5,103.605,113.613,51.993,39.54,-10.008,12.453
2,6,94.937,98.656,41.621,35.39,-3.719,6.231
2,7,90.03,97.219,48.713,39.055,-7.189,9.658
2,8,87.965,100.454,50.098,45.603,-12.489,4.495
2,9,88.592,106.429,52.698,48.493,-17.837,4.205
2,10,91.281,106.203,48.019,48.014,-14.922,0.005
2,11,91.784,108.833,48.541,46.443,-17.049,2.098
2,12,94.265,110.269,50.035,49.521,-16.004,0.514
2,13,93.903,108.532,52.064,49.789,-14.629,2.275
2,14,98.003,125.697,47.591,49.044,-27.694,-1.453
2,15,103.379,131.294,49.03,40.498,-27.915,8.532
2,16,108.563,133.87,50.415,46.712,-25.307,3.703
2,17,113.456,131.172,50.166,50.476,-17.716,-0.31
5,0,118.399,118.128,58.861,42.338,0.271,16.523
5,1,122.588,119.503,60.117,51.031,3.085,9.086
5,2,124.517,125.29,60.117,49.82,-0.773,10.297
5,3,122.271,125.133,51.665,47.834,-2.862,3.831
5,4,112.577,118.162,53.043,45.89,-5.585,7.153
5,5,106.841,108.382,49.293,44.192,-1.541,5.101
5,6,100.171,103.84,52.707,40.405,-3.669,12.302
5,7,98.468,105.804,44.787,46.343,-7.336,-1.556
5,8,97.644,109.495,44.469,46.682,-11.851,-2.213
5,9,98.114,115.609,45.0,46.641,-17.495,-1.641
5,10,99.243,119.721,45.0,46.949,-20.478,-1.949
5,11,100.158,114.372,45.0,53.678,-14.214,-8.678
5,12,100.728,116.573,45.0,56.601,-15.845,-11.601
5,13,104.801,123.441,45.0,39.818,-18.64,5.182
5,14,110.788,124.33,45.0,38.485,-13.542,6.515
5,15,108.99,128.619,45.0,37.376,-19.629,7.624
5,16,112.153,128.467,45.0,37.996,-16.314,7.004
6,0,112.85,141.958,45.716,61.831,-29.108,-16.115
6,1,109.626,125.636,44.902,52.699,-16.01,-7.797
6,2,107.634,122.005,47.803,49.855,-14.371,-2.052
6,3,108.294,119.78,46.531,50.637,-11.486,-4.106
6,4,109.973,122.909,48.379,50.634,-12.936,-2.255
6,5,112.642,125.123,47.229,50.943,-12.481,-3.714
6,6,114.307,125.853,51.649,49.613,-11.546,2.036
6,7,118.6,127.763,49.688,44.406,-9.163,5.282
6,8,120.308,134.298,49.534,41.627,-13.99,7.907
6,9,123.091,139.374,52.532,42.031,-16.283,10.501
6,10,127.569,141.56,52.901,42.161,-13.991,10.74
6,11,128.555,143.74,57.163,40.912,-15.185,16.251
