archivo,frame,angulo_rodilla_izquierda_kinovea,angulo_rodilla_izquierda_mediapipe,diferencia_rodilla_izquierda
1,0,178.52,172.231,6.289
1,1,179.881,173.717,6.164
1,2,176.957,173.677,3.28
1,3,174.238,167.566,6.672
1,4,179.887,179.369,0.518
1,5,177.016,178.455,-1.439
1,6,177.219,179.513,-2.294
1,7,177.001,175.862,1.139
1,8,173.797,176.784,-2.987
1,9,171.24,174.027,-2.787
1,10,174.229,175.198,-0.969
1,11,178.157,176.019,2.138
1,12,177.311,175.937,1.374
1,13,176.59,176.521,0.069
1,14,174.994,173.602,1.392
1,15,178.138,173.558,4.58
1,16,177.857,174.25,3.607
1,17,178.833,170.901,7.932
1,18,175.224,179.395,-4.171
1,19,173.959,179.671,-5.712
1,20,173.022,179.313,-6.291
1,21,173.47,176.443,-2.973
1,22,167.021,174.825,-7.804
1,23,162.783,171.874,-9.091
1,24,161.502,168.229,-6.727
1,25,156.435,162.185,-5.75
1,26,147.544,156.109,-8.565
2,0,177.323,173.969,3.354
2,1,177.237,176.863,0.374
2,2,179.717,179.53,0.187
2,3,178.347,178.553,-0.206
2,4,177.383,177.345,0.038
2,5,176.194,175.498,0.696
2,6,176.53,176.332,0.198
2,7,174.986,173.513,1.473
2,8,174.946,172.948,1.998
2,9,178.615,179.937,-1.322
2,10,177.843,175.449,2.394
2,11,177.223,171.541,5.682
2,12,175.774,171.796,3.978
2,13,175.732,175.592,0.14
2,14,175.732,178.569,-2.837
2,15,176.437,179.33,-2.893
2,16,175.732,173.424,2.308
2,17,178.09,172.797,5.293
2,18,176.468,168.904,7.564
5,0,174.001,177.549,-3.548
5,1,174.738,173.587,1.151
5,2,176.741,173.798,2.943
5,3,177.935,156.137,21.798
5,4,179.945,177.074,2.871
5,5,178.259,177.516,0.743
5,6,176.122,176.731,-0.609
5,7,175.772,175.375,0.397
5,8,173.159,168.972,4.187
5,9,173.184,171.404,1.78
5,10,174.823,179.914,-5.091
5,11,174.797,174.667,0.13
5,12,176.403,175.736,0.667
5,13,176.012,179.193,-3.181
5,14,176.732,177.922,-1.19
5,15,172.166,175.418,-3.252
5,16,174.535,171.582,2.953
5,17,176.755,175.688,1.067
5,18,179.121,176.536,2.585
6,0,167.916,170.885,-2.969
6,1,169.542,171.465,-1.923
6,2,170.299,175.321,-5.022
6,3,172.867,180.0,-7.133
6,4,176.924,178.237,-1.313
6,5,175.863,177.188,-1.325
6,6,176.868,178.39,-1.522
6,7,175.922,174.23,1.692
6,8,173.282,176.748,-3.466
6,9,172.987,179.639,-6.652
6,10,174.513,179.011,-4.498
13,0,178.999,174.492,4.507
13,1,178.496,174.942,3.554
13,2,178.001,174.06,3.941
13,3,177.776,173.144,4.632
13,4,177.057,174.806,2.251
13,5,175.545,176.912,-1.367
13,6,174.824,177.631,-2.807
13,7,173.339,179.901,-6.562
13,8,172.268,177.76,-5.492
14,0,173.334,178.428,-5.094
14,1,174.81,178.494,-3.684
14,2,175.841,178.856,-3.015
14,3,176.484,179.706,-3.222
14,4,177.041,179.374,-2.333
14,5,173.891,178.602,-4.711
14,6,174.069,179.337,-5.268
14,7,173.726,179.682,-5.956
14,8,175.022,174.238,0.784
15,0,179.596,173.81,5.786
15,1,179.787,176.71,3.077
15,2,179.787,177.972,1.815
15,3,179.233,178.047,1.186
15,4,178.406,176.676,1.73
15,5,178.848,176.358,2.49
15,6,178.717,177.256,1.461
15,7,179.479,176.682,2.797
15,8,179.549,177.628,1.921
15,9,177.775,178.212,-0.437
16,0,174.73,170.458,4.272
16,1,174.7,175.265,-0.565
16,2,174.255,178.625,-4.37
16,3,175.666,178.843,-3.177
16,4,177.448,178.733,-1.285
16,5,177.418,178.432,-1.014
16,6,177.124,178.225,-1.101
16,7,177.107,178.316,-1.209
16,8,176.147,179.361,-3.214
16,9,175.766,179.927,-4.161
17,0,176.003,174.359,1.644
17,1,178.69,175.76,2.93
17,2,178.727,178.753,-0.026
17,3,177.494,179.881,-2.387
17,4,179.275,178.845,0.43
17,5,179.857,178.619,1.238
17,6,178.531,179.75,-1.219
17,7,178.35,179.303,-0.953
18,0,178.44,179.227,-0.787
18,1,179.042,179.019,0.023
18,2,179.394,179.007,0.387
18,3,178.128,179.152,-1.024
18,4,176.739,178.339,-1.6
18,5,178.694,178.995,-0.301
18,6,178.975,179.796,-0.821
18,7,178.81,179.338,-0.528
19,0,165.56,172.392,-6.832
19,1,166.216,173.156,-6.94
19,2,166.309,173.763,-7.454
19,3,169.882,175.967,-6.085
19,4,172.359,177.675,-5.316
19,5,174.954,178.106,-3.152
19,6,173.635,178.733,-5.098
19,7,173.062,179.648,-6.586
19,8,172.626,178.792,-6.166
20,0,174.134,178.293,-4.159
20,1,175.294,178.897,-3.603
20,2,174.888,179.054,-4.166
20,3,174.825,179.985,-5.16
20,4,173.764,179.848,-6.084
20,5,173.092,177.819,-4.727
20,6,172.62,175.218,-2.598
20,7,175.518,173.272,2.246
21,0,167.72,173.966,-6.246
21,1,168.934,176.747,-7.813
21,2,170.96,177.689,-6.729
21,3,173.509,177.334,-3.825
21,4,176.556,178.465,-1.909
21,5,175.691,179.797,-4.106
21,6,173.382,178.88,-5.498
21,7,173.648,175.941,-2.293
22,0,179.578,176.571,3.007
22,1,179.499,176.267,3.232
22,2,178.023,173.308,4.715
22,3,175.213,172.546,2.667
22,4,175.074,172.301,2.773
22,5,176.202,172.852,3.35
22,6,175.277,173.389,1.888
23,0,176.436,179.068,-2.632
23,1,176.195,179.604,-3.409
23,2,177.48,179.31,-1.83
23,3,179.487,179.327,0.16
23,4,179.592,179.795,-0.203
23,5,177.812,179.923,-2.111
23,6,179.362,179.318,0.044
23,7,178.415,179.8,-1.385
23,8,177.674,177.888,-0.214
24,0,174.068,154.639,19.429
24,1,178.727,168.561,10.166
24,2,177.798,177.365,0.433
24,3,174.857,175.724,-0.867
24,4,166.142,168.106,-1.964
24,5,164.577,163.087,1.49
24,6,165.673,160.121,5.552
24,7,163.022,159.053,3.969
24,8,167.293,162.184,5.109
24,9,173.84,164.688,9.152
24,10,175.223,169.647,5.576
24,11,176.849,173.039,3.81
24,12,178.76,178.238,0.522
24,13,175.783,172.621,3.162
25,0,176.389,178.319,-1.93
25,1,174.73,166.601,8.129
25,2,167.914,151.931,15.983
25,3,162.859,155.903,6.956
25,4,168.044,154.862,13.182
25,5,166.647,157.499,9.148
25,6,167.488,163.515,3.973
25,7,171.977,166.376,5.601
25,8,173.546,163.778,9.768
25,9,178.261,166.426,11.835
25,10,177.148,174.058,3.09
25,11,175.325,174.227,1.098
25,12,176.515,179.633,-3.118
25,13,175.412,176.612,-1.2
25,14,176.302,176.78,-0.478
25,15,174.615,174.124,0.491
25,16,179.017,175.454,3.563
26,0,179.346,156.169,23.177
26,1,176.092,156.096,19.996
26,2,173.047,155.589,17.458
26,3,167.022,149.04,17.982
26,4,164.328,151.193,13.135
26,5,165.291,151.484,13.807
26,6,166.738,153.941,12.797
26,7,176.366,159.432,16.934
26,8,176.517,167.68,8.837
26,9,173.136,178.856,-5.72
26,10,172.141,165.144,6.997
26,11,175.422,168.235,7.187
26,12,175.433,168.727,6.706
26,13,172.429,158.267,14.162
26,14,169.476,178.687,-9.211
26,15,169.026,160.56,8.466
26,16,164.311,153.906,10.405
27,0,171.705,169.991,1.714
27,1,165.077,157.174,7.903
27,2,162.852,148.907,13.945
27,3,161.272,148.931,12.341
27,4,160.421,151.42,9.001
27,5,158.855,149.972,8.883
27,6,160.064,151.046,9.018
27,7,165.887,153.957,11.93
27,8,170.122,157.562,12.56
27,9,175.825,160.892,14.933
27,10,179.839,170.26,9.579
27,11,177.46,175.973,1.487
27,12,165.277,170.268,-4.991
27,13,165.61,157.378,8.232
28,0,168.179,156.14,12.039
28,1,163.708,146.853,16.855
28,2,166.461,145.549,20.912
28,3,166.729,149.713,17.016
28,4,169.185,153.39,15.795
28,5,168.006,158.999,9.007
28,6,171.067,164.811,6.256
28,7,174.092,156.023,18.069
28,8,176.851,164.493,12.358
28,9,177.938,174.376,3.562
28,10,178.841,177.639,1.202
28,11,179.312,175.707,3.605
28,12,179.701,176.46,3.241
28,13,179.558,174.549,5.009
28,14,176.528,173.329,3.199
28,15,175.516,173.041,2.475
28,16,172.245,172.332,-0.087
28,17,173.083,168.825,4.258
28,18,170.95,169.691,1.259
29,0,175.653,169.56,6.093
29,1,171.652,160.611,11.041
29,2,166.144,161.652,4.492
29,3,168.343,160.947,7.396
29,4,164.711,158.022,6.689
29,5,165.421,156.387,9.034
29,6,167.791,156.485,11.306
29,7,173.699,158.855,14.844
29,8,179.207,164.853,14.354
29,9,177.129,168.965,8.164
29,10,175.701,177.42,-1.719
29,11,172.787,176.315,-3.528
29,12,166.275,166.553,-0.278
29,13,158.659,148.667,9.992
29,14,144.217,141.506,2.711
30,0,164.656,161.517,3.139
30,1,162.493,152.317,10.176
30,2,163.587,161.765,1.822
30,3,164.273,163.382,0.891
30,4,167.58,160.714,6.866
30,5,168.84,161.226,7.614
30,6,172.744,163.606,9.138
30,7,173.553,167.823,5.73
30,8,176.861,177.603,-0.742
30,9,173.129,178.947,-5.818
30,10,174.096,175.732,-1.636
30,11,176.121,173.673,2.448
30,12,177.152,173.668,3.484
31,0,177.468,161.406,16.062
31,1,173.64,172.027,1.613
31,2,171.099,158.135,12.964
31,3,169.67,164.204,5.466
31,4,170.694,164.375,6.319
31,5,168.982,165.678,3.304
31,6,170.734,167.95,2.784
31,7,173.013,170.713,2.3
31,8,176.256,172.475,3.781
31,9,179.774,173.264,6.51
31,10,179.38,178.171,1.209
31,11,178.483,176.728,1.755
31,12,173.702,166.508,7.194
31,13,169.201,159.815,9.386
31,14,162.81,151.996,10.814
32,0,161.248,165.704,-4.456
32,1,161.93,158.389,3.541
32,2,161.623,151.882,9.741
32,3,159.72,145.23,14.49
32,4,161.24,149.868,11.372
32,5,163.49,152.225,11.265
32,6,167.374,164.065,3.309
32,7,173.68,170.831,2.849
32,8,174.851,165.899,8.952
32,9,175.436,172.784,2.652
32,10,175.868,161.921,13.947
32,11,174.107,154.869,19.238
33,0,179.493,164.217,15.276
33,1,177.076,175.799,1.277
33,2,167.576,174.455,-6.879
33,3,170.374,174.43,-4.056
33,4,168.176,169.756,-1.58
33,5,164.785,153.793,10.992
33,6,167.456,155.914,11.542
33,7,169.454,156.138,13.316
33,8,175.773,161.68,14.093
33,9,178.931,165.164,13.767
33,10,179.431,174.642,4.789
33,11,177.074,170.306,6.768
33,12,174.202,163.996,10.206
33,13,173.521,162.015,11.506
33,14,165.626,159.879,5.747
34,0,164.123,158.557,5.566
34,1,161.988,150.952,11.036
34,2,159.693,150.826,8.867
34,3,156.94,151.382,5.558
34,4,159.072,150.39,8.682
34,5,159.536,151.322,8.214
34,6,164.443,153.461,10.982
34,7,169.507,156.653,12.854
34,8,174.113,160.696,13.417
34,9,175.021,171.043,3.978
34,10,177.012,170.363,6.649
34,11,177.372,174.496,2.876
34,12,173.107,169.67,3.437
34,13,164.299,160.172,4.127
34,14,159.587,149.838,9.749
34,15,155.751,146.443,9.308
35,0,168.866,168.43,0.436
35,1,168.144,164.62,3.524
35,2,167.612,153.62,13.992
35,3,170.625,151.96,18.665
35,4,168.171,150.558,17.613
35,5,173.362,150.634,22.728
35,6,175.619,160.702,14.917
35,7,177.525,168.217,9.308
35,8,179.375,174.686,4.689
35,9,177.356,175.65,1.706
35,10,172.762,169.132,3.63
35,11,165.254,160.412,4.842
35,12,152.207,155.412,-3.205
36,0,178.321,146.8,31.521
36,1,170.677,150.831,19.846
36,2,165.075,154.842,10.233
36,3,167.09,161.915,5.175
36,4,166.763,165.226,1.537
36,5,169.777,165.002,4.775
36,6,171.325,164.072,7.253
36,7,179.896,172.092,7.804
36,8,176.792,171.977,4.815
36,9,175.774,178.056,-2.282
36,10,171.736,170.161,1.575
36,11,166.42,156.111,10.309
38,0,163.11,169.482,-6.372
38,1,161.116,166.293,-5.177
38,2,160.697,163.441,-2.744
38,3,155.386,155.664,-0.278
38,4,154.136,157.416,-3.28
38,5,156.582,160.198,-3.616
38,6,161.025,159.466,1.559
38,7,165.236,161.988,3.248
