archivo,marcador,frame,X (px),Y (px)
1,punta_derecha,0,865.55912,647.80813
1,talon_derecho,0,886.51754,605.52478
1,tobillo_derecho,0,896.75039,617.75507
1,rodilla_derecha,0,985.08236,644.49974
1,cadera_derecha,0,1074.44847,598.45714
1,hombro_derecho,0,1094.1988,458.28708
1,punta_derecha,1,871.27298,631.62739
1,talon_derecho,1,903.8376,589.51148
1,tobillo_derecho,1,910.88453,605.50392
1,rodilla_derecha,1,991.32145,645.4168
1,cadera_derecha,1,1080.4604,602.62632
1,hombro_derecho,1,1104.25209,460.72688
1,punta_derecha,2,885.98219,608.00436
1,talon_derecho,2,931.49151,580.42162
1,tobillo_derecho,2,931.97828,596.03111
1,rodilla_derecha,2,1005.00149,653.78381
1,cadera_derecha,2,1096.15196,611.12452
1,hombro_derecho,2,1114.99203,469.50347
1,punta_derecha,3,905.99613,589.67028
1,talon_derecho,3,960.89241,576.65651
1,tobillo_derecho,3,956.6708,592.65861
1,rodilla_derecha,3,1024.18636,664.96882
1,cadera_derecha,3,1113.45314,619.385
1,hombro_derecho,3,1125.1664,479.21626
1,punta_derecha,4,937.56128,583.44992
1,talon_derecho,4,989.73427,581.96644
1,tobillo_derecho,4,985.8823,596.69415
1,rodilla_derecha,4,1049.18461,679.07475
1,cadera_derecha,4,1130.03838,626.97071
1,hombro_derecho,4,1135.1033,486.91019
1,punta_derecha,5,962.83047,592.91584
1,talon_derecho,5,1013.60802,589.43461
1,tobillo_derecho,5,1009.48128,605.9761
1,rodilla_derecha,5,1078.9246,692.14646
1,cadera_derecha,5,1145.70534,634.49425
1,hombro_derecho,5,1141.43967,494.37237
1,punta_derecha,6,983.64132,605.0741
1,talon_derecho,6,1036.54129,611.61962
1,tobillo_derecho,6,1034.31198,631.44908
1,rodilla_derecha,6,1120.3014,706.90964
1,cadera_derecha,6,1157.77061,637.22662
1,hombro_derecho,6,1151.72138,495.05676
1,punta_derecha,7,1010.2692,652.05359
1,talon_derecho,7,1059.54311,645.60889
1,tobillo_derecho,7,1060.71705,663.42135
1,rodilla_derecha,7,1162.5824,715.67377
1,cadera_derecha,7,1174.34395,634.73925
1,hombro_derecho,7,1160.18692,498.10118
1,punta_derecha,8,1042.64214,713.44749
1,talon_derecho,8,1079.0427,687.84634
1,tobillo_derecho,8,1088.47996,704.17939
1,rodilla_derecha,8,1206.84254,719.58997
1,cadera_derecha,8,1181.75388,631.56817
1,hombro_derecho,8,1164.63261,502.53597
1,punta_derecha,9,1112.68845,794.46267
1,talon_derecho,9,1107.05349,738.85552
1,tobillo_derecho,9,1131.36681,749.90573
1,rodilla_derecha,9,1241.58211,714.47862
1,cadera_derecha,9,1185.53535,630.84211
1,hombro_derecho,9,1171.23905,505.00409
1,punta_derecha,10,1220.35034,846.10554
1,talon_derecho,10,1169.69032,801.2181
1,tobillo_derecho,10,1192.7639,794.87627
1,rodilla_derecha,10,1258.1876,705.24399
1,cadera_derecha,10,1188.79921,626.73305
1,hombro_derecho,10,1178.94264,504.26029
1,punta_derecha,11,1323.265,848.64872
1,talon_derecho,11,1263.16509,839.15016
1,tobillo_derecho,11,1274.94942,817.34078
1,rodilla_derecha,11,1259.22684,701.44083
1,cadera_derecha,11,1192.57931,622.3683
1,hombro_derecho,11,1188.64208,501.62721
1,punta_derecha,12,1369.32701,831.87762
1,talon_derecho,12,1317.55611,832.28684
1,tobillo_derecho,12,1319.47529,813.58036
1,rodilla_derecha,12,1266.60461,703.35001
1,cadera_derecha,12,1199.73896,621.3765
1,hombro_derecho,12,1196.98792,500.50841
1,punta_derecha,13,1410.85407,805.87942
1,talon_derecho,13,1356.38821,829.57023
1,tobillo_derecho,13,1356.56239,806.77343
1,rodilla_derecha,13,1275.68092,707.72795
1,cadera_derecha,13,1204.83547,621.32578
1,hombro_derecho,13,1203.90541,501.70961
1,punta_derecha,14,1425.14294,781.79046
1,talon_derecho,14,1380.28942,822.53446
1,tobillo_derecho,14,1378.29597,798.93016
1,rodilla_derecha,14,1285.86994,705.59572
1,cadera_derecha,14,1205.18417,618.38322
1,hombro_derecho,14,1209.75643,501.11873
2,punta_derecha,0,892.22597,660.35617
2,talon_derecho,0,917.48737,612.30635
2,tobillo_derecho,0,926.54989,625.02652
2,rodilla_derecha,0,1016.8103,639.17037
2,cadera_derecha,0,1116.49921,593.14398
2,hombro_derecho,0,1143.5265,448.56096
2,punta_derecha,1,894.83116,644.20337
2,talon_derecho,1,929.54716,600.20757
2,tobillo_derecho,1,934.01928,612.0307
2,rodilla_derecha,1,1027.6989,639.20719
2,cadera_derecha,1,1124.7876,597.98258
2,hombro_derecho,1,1151.44764,450.64111
2,punta_derecha,2,907.83915,615.45934
2,talon_derecho,2,945.10843,584.967
2,tobillo_derecho,2,950.03019,596.93214
2,rodilla_derecha,2,1039.30916,643.45529
2,cadera_derecha,2,1134.57458,608.06037
2,hombro_derecho,2,1163.28129,452.66049
2,punta_derecha,3,927.41158,593.93558
2,talon_derecho,3,976.21136,573.80678
2,tobillo_derecho,3,975.62725,587.93492
2,rodilla_derecha,3,1055.64159,654.5073
2,cadera_derecha,3,1152.55692,617.33163
2,hombro_derecho,3,1176.12911,463.7078
2,punta_derecha,4,953.68446,576.33722
2,talon_derecho,4,1005.95169,570.94553
2,tobillo_derecho,4,1001.38664,586.67089
2,rodilla_derecha,4,1075.84225,665.91562
2,cadera_derecha,4,1171.67656,625.88101
2,hombro_derecho,4,1183.28636,472.53087
2,punta_derecha,5,1037.877385,589.322125
2,talon_derecho,5,1049.01386,597.58588
2,tobillo_derecho,5,1048.81382,614.0080499999999
2,rodilla_derecha,5,1114.4953,682.643815
2,cadera_derecha,5,1188.31936,635.3787649999999
2,hombro_derecho,5,1192.50973,481.25727
2,punta_derecha,6,1043.2612575,601.5132625
2,talon_derecho,6,1070.144635,609.7873199999999
2,tobillo_derecho,6,1069.1098000000002,627.48219
2,rodilla_derecha,6,1147.307425,697.7159025000001
2,cadera_derecha,6,1204.96216,644.87652
2,hombro_derecho,6,1197.87792,487.65717
2,punta_derecha,7,1048.64513,613.7044
2,talon_derecho,7,1091.27541,621.98876
2,tobillo_derecho,7,1089.40578,640.95633
2,rodilla_derecha,7,1180.11955,712.78799
2,cadera_derecha,7,1217.97684,645.59911
2,hombro_derecho,7,1209.5985,493.80927
2,punta_derecha,8,1061.25595,647.51118
2,talon_derecho,8,1117.38705,648.54527
2,tobillo_derecho,8,1117.69741,667.14566
2,rodilla_derecha,8,1231.09165,723.2627
2,cadera_derecha,8,1229.22466,637.60533
2,hombro_derecho,8,1220.00656,498.1064
2,punta_derecha,9,1103.16067,713.67994
2,talon_derecho,9,1139.23611,694.23466
2,tobillo_derecho,9,1150.24223,712.93038
2,rodilla_derecha,9,1278.97282,730.2249
2,cadera_derecha,9,1241.1581,636.08213
