archivo,marcador,frame,X (px),Y (px)
13,punta_izquierda,0,-516.049499511719,-269.411376953125
13,punta_izquierda,1,-517.0,-269.0
13,punta_izquierda,2,-517.0,-269.0
13,punta_izquierda,3,-517.0,-269.0
13,punta_izquierda,4,-517.0,-269.0
13,punta_izquierda,5,-517.0,-269.0
13,punta_izquierda,6,-517.0,-269.0
13,punta_izquierda,7,-517.0,-269.0
13,punta_izquierda,8,-517.0,-269.0
13,punta_izquierda,9,-517.0,-269.0
13,talon_izquierdo,0,-456.638885498047,-267.629089355469
13,talon_izquierdo,1,-457.0,-265.990905761719
13,talon_izquierdo,2,-457.331787109375,-265.663635253906
13,talon_izquierdo,3,-457.665893554688,-265.329528808594
13,talon_izquierdo,4,-458.0,-264.995361328125
13,talon_izquierdo,5,-458.659118652344,-264.995422363281
13,talon_izquierdo,6,-458.43310546875,-265.217712402344
13,talon_izquierdo,7,-459.331817626953,-265.334106445313
13,talon_izquierdo,8,-461.002288818359,-265.334106445313
13,talon_izquierdo,9,-460.668182373047,-265.000061035156
13,tobillo_izquierdo,0,-465.662353515625,-250.139953613281
13,tobillo_izquierdo,1,-467.331787109375,-249.0
13,tobillo_izquierdo,2,-470.661376953125,-248.665954589844
13,tobillo_izquierdo,3,-471.661376953125,-248.331848144531
13,tobillo_izquierdo,4,-471.995452880859,-248.331848144531
13,tobillo_izquierdo,5,-471.661376953125,-248.665893554688
13,tobillo_izquierdo,6,-472.507202148438,-249.029418945313
13,tobillo_izquierdo,7,-473.0,-249.0
13,tobillo_izquierdo,8,-474.0,-249.0
13,tobillo_izquierdo,9,-475.663635253906,-250.0
13,rodilla_izquierda,0,-464.956359863281,-164.848754882813
13,rodilla_izquierda,1,-478.002197265625,-161.665893554688
13,rodilla_izquierda,2,-486.334045410156,-160.663635253906
13,rodilla_izquierda,3,-490.995452880859,-160.327270507813
13,rodilla_izquierda,4,-493.334075927734,-160.663635253906
13,rodilla_izquierda,5,-495.331787109375,-160.327270507813
13,rodilla_izquierda,6,-498.340881347656,-159.288513183594
13,rodilla_izquierda,7,-502.67041015625,-160.338745117188
13,rodilla_izquierda,8,-505.990875244141,-160.372680664063
13,rodilla_izquierda,9,-507.322723388672,-161.363647460938
13,cadera_izquierda,0,-394.851867675781,-83.4561767578125
13,cadera_izquierda,1,-411.009094238281,-87.0113525390625
13,cadera_izquierda,2,-426.672729492188,-85.654541015625
13,cadera_izquierda,3,-434.331787109375,-85.6590576171875
13,cadera_izquierda,4,-441.327331542969,-83.9932250976563
13,cadera_izquierda,5,-447.002319335938,-84.009033203125
13,cadera_izquierda,6,-452.670501708984,-81.67724609375
13,cadera_izquierda,7,-454.665954589844,-78.0068359375
13,cadera_izquierda,8,-460.002258300781,-76.0022583007813
13,cadera_izquierda,9,-464.0,-75.675048828125
39,punta_izquierda,0,-445.218688964844,-309.236267089844
39,punta_izquierda,1,-445.588500976563,-312.706481933594
39,punta_izquierda,2,-446.0,-313.236022949219
39,punta_izquierda,3,-447.059020996094,-314.295043945313
39,punta_izquierda,4,-447.059020996094,-315.353942871094
39,punta_izquierda,5,-446.529479980469,-313.235961914063
39,punta_izquierda,6,-447.058959960938,-314.824462890625
39,punta_izquierda,7,-447.588500976563,-315.353942871094
39,punta_izquierda,8,-448.117980957031,-314.824462890625
39,punta_izquierda,9,-447.058959960938,-315.35400390625
39,punta_izquierda,10,-448.6474609375,-314.824462890625
39,talon_izquierdo,0,-374.912719726563,-317.463500976563
39,talon_izquierdo,1,-376.058959960938,-316.470520019531
39,talon_izquierdo,2,-378.118041992188,-313.822998046875
39,talon_izquierdo,3,-379.765502929688,-311.704956054688
39,talon_izquierdo,4,-380.294982910156,-312.764038085938
39,talon_izquierdo,5,-380.294982910156,-310.64599609375
39,talon_izquierdo,6,-380.294982910156,-310.646057128906
39,talon_izquierdo,7,-381.35400390625,-310.64599609375
39,talon_izquierdo,8,-381.35400390625,-310.64599609375
39,talon_izquierdo,9,-382.412963867188,-309.057495117188
39,talon_izquierdo,10,-385.060485839844,-302.174072265625
39,tobillo_izquierdo,0,-386.879699707031,-297.269287109375
39,tobillo_izquierdo,1,-391.0,-297.0
39,tobillo_izquierdo,2,-393.588500976563,-295.940979003906
39,tobillo_izquierdo,3,-396.177001953125,-294.881958007813
39,tobillo_izquierdo,4,-397.6474609375,-294.882019042969
39,tobillo_izquierdo,5,-398.647521972656,-295.470520019531
39,tobillo_izquierdo,6,-399.0,-294.411499023438
39,tobillo_izquierdo,7,-398.470458984375,-293.881958007813
39,tobillo_izquierdo,8,-400.529479980469,-293.352478027344
39,tobillo_izquierdo,9,-402.588439941406,-292.822998046875
39,tobillo_izquierdo,10,-406.0,-287.705017089844
39,rodilla_izquierda,0,-386.568725585938,-203.995666503906
39,rodilla_izquierda,1,-404.3525390625,-199.999938964844
39,rodilla_izquierda,2,-421.352416992188,-196.588500976563
39,rodilla_izquierda,3,-433.29345703125,-192.058959960938
39,rodilla_izquierda,4,-441.411560058594,-190.470520019531
39,rodilla_izquierda,5,-445.823059082031,-188.116516113281
39,rodilla_izquierda,6,-453.0,-189.705017089844
39,rodilla_izquierda,7,-453.941009521484,-191.586975097656
39,rodilla_izquierda,8,-459.588500976563,-194.653381347656
39,rodilla_izquierda,9,-463.175537109375,-196.184326171875
39,rodilla_izquierda,10,-474.584075927734,-193.361328125
39,cadera_izquierda,0,-301.496215820313,-120.822937011719
39,cadera_izquierda,1,-321.528076171875,-120.410034179688
39,cadera_izquierda,2,-340.588439941406,-115.585632324219
39,cadera_izquierda,3,-352.705017089844,-114.821533203125
39,cadera_izquierda,4,-364.764099121094,-116.056091308594
39,cadera_izquierda,5,-380.882019042969,-118.115112304688
39,cadera_izquierda,6,-393.293518066406,-117.526611328125
39,cadera_izquierda,7,-403.763977050781,-119.05615234375
39,cadera_izquierda,8,-415.352478027344,-119.64453125
39,cadera_izquierda,9,-423.175537109375,-118.703552246094
39,cadera_izquierda,10,-431.057556152344,-116.703552246094
40,punta_izquierda,0,-449.302490234375,-305.24951171875
40,punta_izquierda,1,-450.471954345703,-307.471862792969
40,punta_izquierda,2,-451.887634277344,-307.359558105469
40,punta_izquierda,3,-452.0,-307.0
40,punta_izquierda,4,-452.0,-307.0
40,punta_izquierda,5,-452.0,-307.0
40,punta_izquierda,6,-452.0,-307.0
40,punta_izquierda,7,-452.0,-307.0
40,punta_izquierda,8,-452.0,-307.0
40,punta_izquierda,9,-452.0,-307.0
40,punta_izquierda,10,-452.0,-307.0
40,talon_izquierdo,0,-375.683715820313,-304.3056640625
40,talon_izquierdo,1,-379.303405761719,-303.05615234375
40,talon_izquierdo,2,-380.719116210938,-300.696594238281
40,talon_izquierdo,3,-383.078735351563,-300.224670410156
40,talon_izquierdo,4,-382.134887695313,-299.752746582031
40,talon_izquierdo,5,-383.078735351563,-300.224670410156
40,talon_izquierdo,6,-383.078735351563,-299.752746582031
40,talon_izquierdo,7,-383.550598144531,-298.808959960938
40,talon_izquierdo,8,-385.438354492188,-299.752746582031
40,talon_izquierdo,9,-384.022583007813,-298.337036132813
40,talon_izquierdo,10,-385.910278320313,-295.505554199219
40,tobillo_izquierdo,0,-391.256896972656,-287.316772460938
40,tobillo_izquierdo,1,-396.0,-287.0
40,tobillo_izquierdo,2,-399.0,-287.0
40,tobillo_izquierdo,3,-400.0,-287.0
40,tobillo_izquierdo,4,-400.0,-287.0
40,tobillo_izquierdo,5,-400.112365722656,-287.0
40,tobillo_izquierdo,6,-400.584228515625,-287.0
40,tobillo_izquierdo,7,-401.584289550781,-286.528076171875
40,tobillo_izquierdo,8,-400.696594238281,-286.528076171875
40,tobillo_izquierdo,9,-401.752746582031,-285.584228515625
40,tobillo_izquierdo,10,-406.168518066406,-284.112365722656
40,rodilla_izquierda,0,-400.695190429688,-201.428161621094
40,rodilla_izquierda,1,-419.359558105469,-202.303405761719
40,rodilla_izquierda,2,-434.0,-200.0
40,rodilla_izquierda,3,-443.471923828125,-200.606811523438
40,rodilla_izquierda,4,-447.528076171875,-201.887634277344
40,rodilla_izquierda,5,-450.0,-201.0
40,rodilla_izquierda,6,-451.0,-202.0
40,rodilla_izquierda,7,-455.0,-202.584228515625
40,rodilla_izquierda,8,-457.235717773438,-205.303405761719
40,rodilla_izquierda,9,-460.785919189453,-207.213684082031
40,rodilla_izquierda,10,-466.527160644531,-207.045104980469
40,cadera_izquierda,0,-302.401489257813,-122.866516113281
40,cadera_izquierda,1,-314.0,-127.0
40,cadera_izquierda,2,-331.662963867188,-126.752746582031
40,cadera_izquierda,3,-350.247253417969,-122.336975097656
40,cadera_izquierda,4,-364.0,-123.0
40,cadera_izquierda,5,-375.0,-123.0
40,cadera_izquierda,6,-385.0,-121.0
40,cadera_izquierda,7,-397.0,-118.0
40,cadera_izquierda,8,-408.0,-115.0
40,cadera_izquierda,9,-421.0,-111.0
40,cadera_izquierda,10,-433.0,-107.0
41,punta_izquierda,0,-457.527160644531,-290.979736328125
41,punta_izquierda,1,-458.0,-290.0
41,punta_izquierda,2,-458.0,-290.0
