archivo,marcador,frame,X (px),Y (px)
1,punta_izquierda,0,656.68058,781.57107
1,talon_izquierdo,0,705.07261,798.80077
1,tobillo_izquierdo,0,698.42892,782.78875
1,rodilla_izquierda,0,683.69545,705.8144
1,cadera_izquierda,0,749.09849,649.0692
1,hombro_izquierdo,0,727.56512,508.04375
1,punta_izquierda,1,649.03936,781.22108
1,talon_izquierdo,1,693.26071,799.45473
1,tobillo_izquierdo,1,686.88543,784.46213
1,rodilla_izquierda,1,677.61847,710.20522
1,cadera_izquierda,1,741.58424,653.68674
1,hombro_izquierdo,1,717.89978,508.15145
1,punta_izquierda,2,641.88314,782.30505
1,talon_izquierdo,2,684.55009,801.33546
1,tobillo_izquierdo,2,678.49794,787.28102
1,rodilla_izquierda,2,671.66176,715.94027
1,cadera_izquierda,2,728.32552,658.70642
1,hombro_izquierdo,2,706.81572,512.58733
1,punta_izquierda,3,639.9963,788.26851
1,talon_izquierdo,3,685.48731,800.93422
1,tobillo_izquierdo,3,676.751,787.24259
1,rodilla_izquierda,3,663.58601,719.34618
1,cadera_izquierda,3,718.33712,662.17606
1,hombro_izquierdo,3,695.40979,516.14967
1,punta_izquierda,4,637.53942,790.55748
1,talon_izquierdo,4,684.77308,800.81243
1,tobillo_izquierdo,4,673.83511,787.36136
1,rodilla_izquierda,4,651.64804,719.83323
1,cadera_izquierda,4,708.2317,665.08353
1,hombro_izquierdo,4,687.2802,519.43449
1,punta_izquierda,5,636.11784,794.44967
1,talon_izquierdo,5,684.14211,800.74091
1,tobillo_izquierdo,5,672.38806,787.50202
1,rodilla_izquierda,5,640.6085,720.03395
1,cadera_izquierda,5,700.31485,666.75034
1,hombro_izquierdo,5,674.93917,520.90577
1,punta_izquierda,6,635.09588,798.09337
1,talon_izquierdo,6,685.88573,800.26944
1,tobillo_izquierdo,6,673.93925,787.38647
1,rodilla_izquierda,6,633.48433,721.1812
1,cadera_izquierda,6,690.68516,669.46585
1,hombro_izquierdo,6,667.55825,521.78266
1,punta_izquierda,7,633.89191,799.3126
1,talon_izquierdo,7,685.19205,799.11942
1,tobillo_izquierdo,7,672.28546,786.63202
1,rodilla_izquierda,7,628.07001,720.85805
1,cadera_izquierda,7,679.39711,668.17936
1,hombro_izquierdo,7,654.37654,521.17859
1,punta_izquierda,8,632.21706,798.99872
1,talon_izquierdo,8,683.55572,797.70186
1,tobillo_izquierdo,8,671.56425,785.92771
1,rodilla_izquierda,8,628.36081,721.95709
1,cadera_izquierda,8,674.40565,666.90735
1,hombro_izquierdo,8,648.05145,521.11804
1,punta_izquierda,9,632.64874,799.61637
1,talon_izquierdo,9,683.55869,796.78313
1,tobillo_izquierdo,9,670.2725,785.1177
1,rodilla_izquierda,9,626.99404,723.57948
1,cadera_izquierda,9,667.95971,662.23683
1,hombro_izquierdo,9,640.9873,520.63122
1,punta_izquierda,10,632.79945,799.61168
1,talon_izquierdo,10,684.14589,795.14998
1,tobillo_izquierdo,10,670.89106,782.51259
1,rodilla_izquierda,10,625.44062,723.47172
1,cadera_izquierda,10,665.68068,657.64156
1,hombro_izquierdo,10,632.98616,520.30083
1,punta_izquierda,11,633.16921,799.04403
1,talon_izquierdo,11,683.83564,794.91084
1,tobillo_izquierdo,11,670.68048,782.1467
1,rodilla_izquierda,11,622.7663,723.12932
1,cadera_izquierda,11,657.61757,652.87268
1,hombro_izquierdo,11,626.1054,520.25335
1,punta_izquierda,12,635.52532,798.13515
1,talon_izquierdo,12,678.86724,788.34833
1,tobillo_izquierdo,12,665.6999,777.37331
1,rodilla_izquierda,12,617.01971,722.74315
1,cadera_izquierda,12,650.81818,650.99813
1,hombro_izquierdo,12,626.02644,520.10932
1,punta_izquierda,13,635.56772,797.84457
1,talon_izquierdo,13,678.27032,789.38892
1,tobillo_izquierdo,13,664.93967,777.92305
1,rodilla_izquierda,13,618.47786,722.15446
1,cadera_izquierda,13,645.10145,649.57375
1,hombro_izquierdo,13,621.04872,519.97655
1,punta_izquierda,14,634.96868,797.96888
1,talon_izquierdo,14,678.93276,789.98154
1,tobillo_izquierdo,14,666.04139,778.72237
1,rodilla_izquierda,14,615.59904,721.95464
1,cadera_izquierda,14,638.32781,649.92916
1,hombro_izquierdo,14,609.67867,520.06165
1,punta_izquierda,15,633.78033,800.35641
1,talon_izquierdo,15,679.39207,791.87797
1,tobillo_izquierdo,15,666.75087,781.66879
1,rodilla_izquierda,15,615.53518,722.61363
1,cadera_izquierda,15,631.26486,649.67591
1,hombro_izquierdo,15,603.30654,521.12541
1,punta_izquierda,16,629.47191,801.06406
1,talon_izquierdo,16,680.04358,792.53824
1,tobillo_izquierdo,16,667.10363,783.13257
1,rodilla_izquierda,16,612.40099,722.65921
1,cadera_izquierda,16,626.80847,648.01013
1,hombro_izquierdo,16,597.67405,521.18901
1,punta_izquierda,17,628.33305,801.74101
1,talon_izquierdo,17,680.26863,794.13495
1,tobillo_izquierdo,17,667.36164,783.61891
1,rodilla_izquierda,17,607.98695,722.30342
1,cadera_izquierda,17,621.14719,647.55617
1,hombro_izquierdo,17,591.43272,521.24769
2,punta_izquierda,0,639.28951,769.51838
2,talon_izquierdo,0,684.97295,787.51496
2,tobillo_izquierdo,0,678.22729,771.43013
2,rodilla_izquierda,0,664.23723,694.74256
2,cadera_izquierda,0,721.54873,634.30486
2,hombro_izquierdo,0,705.75834,499.72747
2,punta_izquierda,1,633.47311,768.57905
2,talon_izquierdo,1,675.99009,787.51792
2,tobillo_izquierdo,1,670.56192,771.76655
2,rodilla_izquierda,1,658.98296,697.5292
2,cadera_izquierda,1,718.60039,639.63231
2,hombro_izquierdo,1,702.63988,504.21919
2,punta_izquierda,2,627.54244,768.64516
2,talon_izquierdo,2,666.09661,787.55107
2,tobillo_izquierdo,2,661.05892,773.23548
2,rodilla_izquierda,2,652.19736,701.92781
2,cadera_izquierda,2,708.06599,648.50284
2,hombro_izquierdo,2,692.15572,513.00688
2,punta_izquierda,3,622.51568,774.59368
2,talon_izquierdo,3,665.21507,787.51399
2,tobillo_izquierdo,3,657.83484,773.66781
2,rodilla_izquierda,3,646.94395,707.31673
2,cadera_izquierda,3,697.52958,653.70933
2,hombro_izquierdo,3,678.9893,521.74986
2,punta_izquierda,4,619.68281,776.00931
2,talon_izquierdo,4,663.8031,785.83598
2,tobillo_izquierdo,4,655.0934,773.6118
2,rodilla_izquierda,4,637.53153,709.55067
2,cadera_izquierda,4,687.02894,657.08724
2,hombro_izquierdo,4,671.92406,525.2036
2,punta_izquierda,5,620.07809,778.58153
2,talon_izquierdo,5,664.84228,785.26196
2,tobillo_izquierdo,5,654.32487,773.56957
2,rodilla_izquierda,5,630.51355,710.31916
2,cadera_izquierda,5,679.21251,662.89066
2,hombro_izquierdo,5,657.56338,528.39905
2,punta_izquierda,6,619.42898,778.81217
2,talon_izquierdo,6,664.7077,782.13408
2,tobillo_izquierdo,6,652.74204,772.24014
2,rodilla_izquierda,6,617.29208,712.01391
2,cadera_izquierda,6,669.99149,669.12802
2,hombro_izquierdo,6,648.7631,531.3156
2,punta_izquierda,7,619.07787,781.02867
2,talon_izquierdo,7,664.70215,778.0088
2,tobillo_izquierdo,7,652.19095,769.16086
2,rodilla_izquierda,7,613.91636,712.5493
2,cadera_izquierda,7,664.97875,667.71896
2,hombro_izquierdo,7,642.58238,532.15888
2,punta_izquierda,8,613.69846,782.23412
2,talon_izquierdo,8,664.24553,776.19554
2,tobillo_izquierdo,8,651.96476,766.32478
2,rodilla_izquierda,8,615.43596,715.46082
2,cadera_izquierda,8,660.56768,668.49787
2,hombro_izquierdo,8,635.57384,533.03246
2,punta_izquierda,9,614.12098,783.98081
2,talon_izquierdo,9,663.72911,776.52075
2,tobillo_izquierdo,9,651.47203,766.25718
2,rodilla_izquierda,9,615.82432,718.442
2,cadera_izquierda,9,655.16315,665.98057
2,hombro_izquierdo,9,623.94796,532.10468
2,punta_izquierda,10,613.70367,784.2374
2,talon_izquierdo,10,664.11655,775.86608
2,tobillo_izquierdo,10,651.64541,765.91543
2,rodilla_izquierda,10,615.462,718.01939
2,cadera_izquierda,10,655.73296,664.04571
2,hombro_izquierdo,10,616.79838,530.87062
2,punta_izquierda,11,614.98421,783.46325
2,talon_izquierdo,11,665.29673,775.82971
2,tobillo_izquierdo,11,652.60998,765.98315
2,rodilla_izquierda,11,613.99292,716.6261
2,cadera_izquierda,11,650.1737,661.18278
2,hombro_izquierdo,11,608.83976,530.4575
2,punta_izquierda,12,615.62822,783.0626
2,talon_izquierdo,12,663.13488,775.75059
2,tobillo_izquierdo,12,650.53751,764.88803
2,rodilla_izquierda,12,611.07519,712.13126
2,cadera_izquierda,12,648.24308,654.75379
2,hombro_izquierdo,12,601.75758,530.00545
2,punta_izquierda,13,615.40392,782.77884
2,talon_izquierdo,13,659.82296,773.73334
2,tobillo_izquierdo,13,644.42265,761.58029
2,rodilla_izquierda,13,601.08656,706.81978
2,cadera_izquierda,13,636.27869,652.85691
2,hombro_izquierdo,13,596.60357,529.53858
2,punta_izquierda,14,613.47668,781.48147
2,talon_izquierdo,14,653.53071,774.10039
2,tobillo_izquierdo,14,635.39738,759.62348
2,rodilla_izquierda,14,606.3509,707.14698
2,cadera_izquierda,14,633.06433,650.72976
2,hombro_izquierdo,14,591.59117,529.33751
2,punta_izquierda,15,609.00576,779.99162
2,talon_izquierdo,15,655.32068,774.34668
2,tobillo_izquierdo,15,632.23452,759.03775
2,rodilla_izquierda,15,607.87027,710.22672
2,cadera_izquierda,15,632.29712,650.31063
2,hombro_izquierdo,15,583.81542,529.12811
2,punta_izquierda,16,609.18394,784.36094
2,talon_izquierdo,16,656.4596,776.32905
2,tobillo_izquierdo,16,638.39384,762.68094
2,rodilla_izquierda,16,607.56111,711.87685
2,cadera_izquierda,16,624.27137,648.97038
2,hombro_izquierdo,16,581.08681,529.20622
2,punta_izquierda,17,610.05953,786.58824
2,talon_izquierdo,17,656.68539,777.8722
2,tobillo_izquierdo,17,641.02736,764.786
2,rodilla_izquierda,17,605.87482,710.89233
2,cadera_izquierda,17,624.06315,646.24361
2,hombro_izquierdo,17,580.16945,529.22907
5,punta_izquierda,0,691.28866,769.18365
5,talon_izquierdo,0,736.74711,792.60944
5,tobillo_izquierdo,0,730.82308,776.67898
5,rodilla_izquierda,0,719.70388,695.86935
5,cadera_izquierda,0,789.98056,644.87993
5,hombro_izquierdo,0,773.48419,500.15906
5,punta_izquierda,1,679.47819,769.10144
5,talon_izquierdo,1,725.89491,792.60957
5,tobillo_izquierdo,1,722.37928,776.22226
5,rodilla_izquierda,1,712.45571,699.29624
5,cadera_izquierda,1,780.147,648.5584
5,hombro_izquierdo,1,766.87231,501.13235
5,punta_izquierda,2,672.83735,771.84038
5,talon_izquierdo,2,715.08053,795.49109
5,tobillo_izquierdo,2,712.07697,779.94778
5,rodilla_izquierda,2,705.14751,707.66634
5,cadera_izquierda,2,767.67797,653.75542
5,hombro_izquierdo,2,754.28919,507.1368
5,punta_izquierda,3,667.50383,776.73312
5,talon_izquierdo,3,712.8194,795.44822
5,tobillo_izquierdo,3,707.24773,779.9087
5,rodilla_izquierda,3,698.32495,712.84914
5,cadera_izquierda,3,756.30455,659.32375
5,hombro_izquierdo,3,745.08745,516.06666
5,punta_izquierda,4,666.27617,784.8568
5,talon_izquierdo,4,713.47561,795.3104
5,tobillo_izquierdo,4,704.328,780.45401
5,rodilla_izquierda,4,687.98595,713.28534
5,cadera_izquierda,4,744.80753,662.41636
5,hombro_izquierdo,4,735.1577,520.83252
5,punta_izquierda,5,666.14079,787.05765
5,talon_izquierdo,5,713.66587,793.72393
5,tobillo_izquierdo,5,703.25575,780.31451
5,rodilla_izquierda,5,678.36079,712.53314
5,cadera_izquierda,5,736.34211,666.33082
5,hombro_izquierdo,5,723.22168,525.52998
5,punta_izquierda,6,665.65487,788.28222
5,talon_izquierdo,6,713.78563,790.7291
5,tobillo_izquierdo,6,702.19574,779.80133
5,rodilla_izquierda,6,670.96767,713.2171
5,cadera_izquierda,6,725.82087,668.85032
5,hombro_izquierdo,6,710.3405,525.48347
5,punta_izquierda,7,665.34273,787.99518
5,talon_izquierdo,7,712.63653,788.94417
5,tobillo_izquierdo,7,702.48425,777.86763
5,rodilla_izquierda,7,669.18234,713.69642
5,cadera_izquierda,7,715.8704,669.80555
5,hombro_izquierdo,7,701.63023,527.17712
5,punta_izquierda,8,663.16515,788.599
5,talon_izquierdo,8,712.35844,787.67808
5,tobillo_izquierdo,8,701.68516,776.77516
5,rodilla_izquierda,8,667.23484,714.23735
5,cadera_izquierda,8,708.91685,667.38113
5,hombro_izquierdo,8,693.22575,527.77125
5,punta_izquierda,9,663.11497,790.4109
5,talon_izquierdo,9,712.80098,785.51527
5,tobillo_izquierdo,9,700.66395,774.95951
5,rodilla_izquierda,9,669.09565,714.11955
5,cadera_izquierda,9,707.98182,662.4555
5,hombro_izquierdo,9,681.95251,526.49206
5,punta_izquierda,10,663.78119,789.71999
5,talon_izquierdo,10,713.44614,784.44031
5,tobillo_izquierdo,10,701.61243,774.1965
5,rodilla_izquierda,10,666.9104,714.15251
5,cadera_izquierda,10,700.56318,656.45523
5,hombro_izquierdo,10,677.6298,525.45788
5,punta_izquierda,11,663.97053,789.91562
5,talon_izquierdo,11,711.78549,784.49187
5,tobillo_izquierdo,11,701.51035,773.39325
5,rodilla_izquierda,11,663.79417,711.83121
5,cadera_izquierda,11,703.18245,653.73
5,hombro_izquierdo,11,668.46874,524.91766
5,punta_izquierda,12,664.41381,788.2445
5,talon_izquierdo,12,707.56405,778.33504
5,tobillo_izquierdo,12,694.98035,766.32355
5,rodilla_izquierda,12,656.99827,710.46322
5,cadera_izquierda,12,690.61214,650.35138
5,hombro_izquierdo,12,665.3734,524.67182
5,punta_izquierda,13,659.12453,785.21014
5,talon_izquierdo,13,708.20704,779.53682
5,tobillo_izquierdo,13,690.21595,767.75276
5,rodilla_izquierda,13,655.48977,710.44855
5,cadera_izquierda,13,684.25472,649.71434
5,hombro_izquierdo,13,661.97994,524.5714
5,punta_izquierda,14,660.72407,789.24788
5,talon_izquierdo,14,709.06912,783.61672
5,tobillo_izquierdo,14,692.10485,773.08156
5,rodilla_izquierda,14,654.39217,713.49893
5,cadera_izquierda,14,681.91572,649.7072
5,hombro_izquierdo,14,653.10041,524.41912
5,punta_izquierda,15,660.13916,790.64921
5,talon_izquierdo,15,709.39167,784.76681
5,tobillo_izquierdo,15,692.69978,774.90898
5,rodilla_izquierda,15,653.68801,716.86255
5,cadera_izquierda,15,674.63911,650.32196
5,hombro_izquierdo,15,644.91022,524.18049
5,punta_izquierda,16,659.03143,791.12763
5,talon_izquierdo,16,709.57575,786.63633
5,tobillo_izquierdo,16,694.22184,776.69643
5,rodilla_izquierda,16,651.72718,716.16011
5,cadera_izquierda,16,671.80515,648.22507
5,hombro_izquierdo,16,640.85627,523.16179
6,punta_izquierda,0,728.91392,770.84331
6,talon_izquierdo,0,768.90049,770.96723
6,tobillo_izquierdo,0,763.05542,759.97039
6,rodilla_izquierda,0,754.58313,699.69439
6,cadera_izquierda,0,793.37397,632.61668
6,hombro_izquierdo,0,784.20725,546.88218
6,punta_izquierda,1,730.08139,770.36849
6,talon_izquierdo,1,772.30894,770.96768
6,tobillo_izquierdo,1,763.95641,759.67498
6,rodilla_izquierda,1,744.76049,700.08288
6,cadera_izquierda,1,789.20626,640.03889
6,hombro_izquierdo,1,775.67608,538.00965
6,punta_izquierda,2,729.63123,770.49216
6,talon_izquierdo,2,773.34188,770.9483
6,tobillo_izquierdo,2,763.9702,759.59844
6,rodilla_izquierda,2,739.77213,701.00026
6,cadera_izquierda,2,781.37587,642.79663
6,hombro_izquierdo,2,763.11647,537.2364
6,punta_izquierda,3,728.98167,770.4274
6,talon_izquierdo,3,772.97487,770.60339
6,tobillo_izquierdo,3,763.94543,759.50593
6,rodilla_izquierda,3,736.56898,702.02328
6,cadera_izquierda,3,776.74267,644.12059
6,hombro_izquierdo,3,753.82015,536.07238
6,punta_izquierda,4,728.58633,770.42823
6,talon_izquierdo,4,772.79171,770.15555
6,tobillo_izquierdo,4,763.93353,759.493
6,rodilla_izquierda,4,735.7366,701.98633
6,cadera_izquierda,4,770.73692,643.6701
6,hombro_izquierdo,4,744.63123,535.43628
6,punta_izquierda,5,728.44963,770.41079
6,talon_izquierdo,5,772.73792,769.09127
6,tobillo_izquierdo,5,763.92849,758.87231
6,rodilla_izquierda,5,735.02266,701.93129
6,cadera_izquierda,5,765.9137,643.74117
6,hombro_izquierdo,5,739.39459,534.77735
6,punta_izquierda,6,728.45049,770.09414
6,talon_izquierdo,6,772.68602,769.13594
6,tobillo_izquierdo,6,763.48503,758.7827
6,rodilla_izquierda,6,732.73373,701.89035
6,cadera_izquierda,6,761.06495,643.16581
6,hombro_izquierdo,6,730.52319,532.62005
6,punta_izquierda,7,731.49725,770.62283
6,talon_izquierdo,7,772.58921,768.75215
6,tobillo_izquierdo,7,761.42687,758.77215
6,rodilla_izquierda,7,728.62507,701.79565
6,cadera_izquierda,7,753.76299,640.5267
6,hombro_izquierdo,7,722.09862,530.74712
6,punta_izquierda,8,730.3977,771.24287
6,talon_izquierdo,8,772.56231,768.77797
6,tobillo_izquierdo,8,759.4265,758.41082
6,rodilla_izquierda,8,729.30141,701.7681
6,cadera_izquierda,8,750.03279,636.79133
6,hombro_izquierdo,8,714.06847,529.5296
6,punta_izquierda,9,729.89965,771.23605
6,talon_izquierdo,9,772.51156,768.72415
6,tobillo_izquierdo,9,759.57247,758.37387
6,rodilla_izquierda,9,729.74545,701.2237
6,cadera_izquierda,9,745.10233,635.05023
6,hombro_izquierdo,9,707.63569,528.98748
6,punta_izquierda,10,728.218,771.33216
6,talon_izquierdo,10,772.54789,768.74507
6,tobillo_izquierdo,10,759.51914,758.26199
6,rodilla_izquierda,10,730.33699,700.81126
6,cadera_izquierda,10,743.77567,634.82544
6,hombro_izquierdo,10,702.57008,526.35987
6,punta_izquierda,11,727.41411,771.27384
6,talon_izquierdo,11,773.08651,768.83661
6,tobillo_izquierdo,11,759.48595,758.26514
6,rodilla_izquierda,11,729.69824,700.65709
6,cadera_izquierda,11,740.04599,634.70758
6,hombro_izquierdo,11,694.1506,524.47551
13,punta_izquierda,0,440.35572,812.02138
13,talon_izquierdo,0,504.11865,809.43764
13,tobillo_izquierdo,0,492.45461,792.8032
13,rodilla_izquierda,0,504.44326,694.4787
13,cadera_izquierda,0,567.12719,620.28165
13,hombro_izquierdo,0,551.5036,472.23427
13,punta_izquierda,1,440.34631,812.15302
13,talon_izquierdo,1,504.39062,809.14983
13,tobillo_izquierdo,1,492.31098,792.66261
13,rodilla_izquierda,1,495.53719,693.80104
13,cadera_izquierda,1,560.9198,619.93178
13,hombro_izquierdo,1,543.49348,472.33752
13,punta_izquierda,2,440.40462,812.09541
13,talon_izquierdo,2,503.97537,809.14068
13,tobillo_izquierdo,2,491.13493,792.61394
13,rodilla_izquierda,2,484.2758,691.67017
13,cadera_izquierda,2,548.3123,618.43691
13,hombro_izquierdo,2,530.29181,473.61385
13,punta_izquierda,3,440.42859,811.92218
13,talon_izquierdo,3,503.09629,808.97171
13,tobillo_izquierdo,3,490.52456,792.53908
13,rodilla_izquierda,3,478.37176,691.4175
13,cadera_izquierda,3,541.29759,617.76743
13,hombro_izquierdo,3,514.79553,478.3825
13,punta_izquierda,4,440.07485,811.4444
13,talon_izquierdo,4,503.52184,808.43722
13,tobillo_izquierdo,4,490.51146,791.73371
13,rodilla_izquierda,4,474.92297,685.19411
13,cadera_izquierda,4,532.84412,613.61608
13,hombro_izquierdo,4,498.02811,480.04152
13,punta_izquierda,5,440.77374,808.18887
