archivo,marcador,frame,X (px),Y (px)
99,cadera_derecha,0,-145.063537597656,-214.591674804688
99,cadera_derecha,1,-142.151550292969,-219.74169921875
99,cadera_derecha,2,-141.303100585938,-220.399169921875
99,cadera_derecha,3,-142.730041503906,-216.590148925781
99,cadera_derecha,4,-143.831420898438,-215.870910644531
99,cadera_derecha,5,-147.129272460938,-215.74169921875
99,cadera_derecha,6,-150.702270507813,-216.191040039063
99,cadera_derecha,7,-154.719299316406,-217.404418945313
99,cadera_derecha,8,-158.208129882813,-215.893310546875
99,rodilla_derecha,0,-96.7071533203125,-278.691955566406
99,rodilla_derecha,1,-93.0,-271.387390136719
99,rodilla_derecha,2,-93.382080078125,-266.218811035156
99,rodilla_derecha,3,-94.4044799804688,-262.067260742188
99,rodilla_derecha,4,-97.9775390625,-256.342529296875
99,rodilla_derecha,5,-103.061767578125,-250.662719726563
99,rodilla_derecha,6,-108.061950683594,-248.0224609375
99,rodilla_derecha,7,-114.977600097656,-241.084289550781
99,rodilla_derecha,8,-124.25830078125,-229.932739257813
99,tobillo_derecho,0,-121.822509765625,-294.061096191406
99,tobillo_derecho,1,-103.112060546875,-307.146240234375
99,tobillo_derecho,2,-86.7748413085938,-317.657409667969
99,tobillo_derecho,3,-71.482421875,-323.01708984375
99,tobillo_derecho,4,-67.6115112304688,-314.977600097656
99,tobillo_derecho,5,-72.1685791015625,-297.921020507813
99,tobillo_derecho,6,-83.7246704101563,-277.061889648438
99,tobillo_derecho,7,-96.7640991210938,-257.7470703125
99,tobillo_derecho,8,-110.421508789063,-239.791870117188
99,cadera_izquierda,0,-187.04736328125,-224.837341308594
99,cadera_izquierda,1,-186.51123046875,-227.573181152344
99,cadera_izquierda,2,-187.213500976563,-228.168640136719
99,cadera_izquierda,3,-187.915649414063,-227.9775390625
99,cadera_izquierda,4,-188.915710449219,-226.382080078125
99,cadera_izquierda,5,-191.595520019531,-224.0
99,cadera_izquierda,6,-194.595581054688,-221.786560058594
99,cadera_izquierda,7,-196.191040039063,-220.893310546875
99,cadera_izquierda,8,-197.382080078125,-221.022399902344
99,rodilla_izquierda,0,-148.437255859375,-268.570861816406
99,rodilla_izquierda,1,-147.51123046875,-268.488830566406
99,rodilla_izquierda,2,-147.521850585938,-267.966857910156
99,rodilla_izquierda,3,-147.628601074219,-267.669128417969
99,rodilla_izquierda,4,-148.22412109375,-267.073547363281
99,rodilla_izquierda,5,-148.948852539063,-265.75341796875
99,rodilla_izquierda,6,-148.864501953125,-265.242248535156
99,rodilla_izquierda,7,-149.566711425781,-264.646728515625
99,rodilla_izquierda,8,-152.460021972656,-264.753479003906
99,tobillo_izquierdo,0,-116.538940429688,-322.500549316406
99,tobillo_izquierdo,1,-115.791931152344,-321.887939453125
99,tobillo_izquierdo,2,-116.213439941406,-320.595520019531
99,tobillo_izquierdo,3,-115.51123046875,-320.0
99,tobillo_izquierdo,4,-115.51123046875,-320.297790527344
99,tobillo_izquierdo,5,-116.518920898438,-320.53125
99,tobillo_izquierdo,6,-117.0,-320.0
99,tobillo_izquierdo,7,-117.0,-320.0
99,tobillo_izquierdo,8,-117.893310546875,-318.51123046875
98,rodilla_derecha,0,-125.441040039063,-284.5078125
98,rodilla_derecha,1,-118.617919921875,-275.364990234375
98,rodilla_derecha,2,-116.426879882813,-267.325500488281
98,rodilla_derecha,3,-116.617858886719,-262.263610839844
98,rodilla_derecha,4,-119.502319335938,-257.334106445313
98,rodilla_derecha,5,-122.816345214844,-252.402404785156
98,rodilla_derecha,6,-127.984985351563,-246.638305664063
98,rodilla_derecha,7,-136.024353027344,-237.812377929688
98,rodilla_derecha,8,-145.850402832031,-225.49755859375
98,rodilla_derecha,9,-153.29443359375,-213.587158203125
98,tobillo_derecho,0,-157.003356933594,-293.738342285156
98,tobillo_derecho,1,-141.112060546875,-301.337280273438
98,tobillo_derecho,2,-121.98828125,-315.932739257813
98,tobillo_derecho,3,-101.99365234375,-326.208068847656
98,tobillo_derecho,4,-90.0833129882813,-321.443969726563
98,tobillo_derecho,5,-92.9147338867188,-309.977600097656
98,tobillo_derecho,6,-99.2743530273438,-285.263610839844
98,tobillo_derecho,7,-112.971252441406,-260.251953125
98,tobillo_derecho,8,-123.98828125,-238.813293457031
98,tobillo_derecho,9,-139.876220703125,-224.223205566406
98,cadera_derecha,0,-171.784545898438,-216.023376464844
98,cadera_derecha,1,-169.151489257813,-219.337219238281
98,cadera_derecha,2,-168.117553710938,-220.803588867188
98,cadera_derecha,3,-168.381652832031,-219.92626953125
98,cadera_derecha,4,-169.044860839844,-217.955200195313
98,cadera_derecha,5,-169.480590820313,-216.105590820313
98,cadera_derecha,6,-170.409851074219,-214.781188964844
98,cadera_derecha,7,-171.552551269531,-213.359680175781
98,cadera_derecha,8,-175.116333007813,-210.213928222656
98,cadera_derecha,9,-177.795349121094,-205.716247558594
98,cadera_izquierda,0,-217.74609375,-222.574096679688
98,cadera_izquierda,1,-217.334899902344,-223.502319335938
98,cadera_izquierda,2,-216.660461425781,-224.679077148438
98,cadera_izquierda,3,-215.990661621094,-224.846496582031
98,cadera_izquierda,4,-215.99072265625,-224.846496582031
98,cadera_izquierda,5,-218.0,-222.0
98,cadera_izquierda,6,-220.172119140625,-219.990661621094
98,cadera_izquierda,7,-222.516235351563,-218.148864746094
98,cadera_izquierda,8,-226.1953125,-214.130249023438
98,cadera_izquierda,9,-228.023254394531,-213.288391113281
98,rodilla_izquierda,0,-170.104736328125,-269.0244140625
98,rodilla_izquierda,1,-169.0,-269.0
98,rodilla_izquierda,2,-169.502380371094,-268.0
98,rodilla_izquierda,3,-169.1953125,-267.479064941406
98,rodilla_izquierda,4,-169.865112304688,-267.325561523438
98,rodilla_izquierda,5,-172.032531738281,-265.493041992188
98,rodilla_izquierda,6,-173.38134765625,-263.81396484375
98,rodilla_izquierda,7,-175.041809082031,-263.990661621094
98,rodilla_izquierda,8,-175.520935058594,-263.846496582031
98,rodilla_izquierda,9,-177.348815917969,-264.855773925781
98,tobillo_izquierdo,0,-137.649047851563,-325.109741210938
98,tobillo_izquierdo,1,-137.539001464844,-326.309448242188
98,tobillo_izquierdo,2,-134.98291015625,-326.528259277344
98,tobillo_izquierdo,3,-134.51123046875,-325.0
