archivo,marcador,frame,X (px),Y (px)
1,talon_izquierdo,0,967.32182,793.51877
1,cadera_izquierda,0,895.57108,699.11078
1,cadera_derecha,0,918.70548,694.60435
1,hombro_izquierdo,0,867.62707,603.84439
1,hombro_derecho,0,928.9924,601.50732
1,rodilla_izquierda,0,918.54418,734.57246
1,tobillo_izquierdo,0,959.77415,782.49837
1,talon_izquierdo,1,971.54663,794.86996
1,cadera_izquierda,1,896.7318,696.14602
1,cadera_derecha,1,919.65414,690.87149
1,hombro_izquierdo,1,872.81839,603.68686
1,hombro_derecho,1,931.49546,602.64112
1,rodilla_izquierda,1,923.51091,735.29145
1,tobillo_izquierdo,1,965.67123,784.37812
1,talon_izquierdo,2,974.56524,791.69907
1,cadera_izquierda,2,903.58183,696.36418
1,cadera_derecha,2,926.28662,693.65472
1,hombro_izquierdo,2,878.45009,606.13349
1,hombro_derecho,2,936.8288,606.5982
1,rodilla_izquierda,2,928.6124,734.82442
1,tobillo_izquierdo,2,968.77087,783.74881
1,talon_izquierdo,3,975.5876125,784.02894625
1,cadera_izquierda,3,902.80661,696.50645
1,cadera_derecha,3,929.28102,694.79837
1,hombro_izquierdo,3,881.60105,609.27689
1,hombro_derecho,3,938.70667,609.1766
1,rodilla_izquierda,3,929.71298,720.0741800000001
1,tobillo_izquierdo,3,970.1539874999999,775.0276112500001
1,talon_izquierdo,4,976.609985,776.3588225000001
1,cadera_izquierda,4,906.36881,698.80591
1,cadera_derecha,4,933.82719,695.3158
1,hombro_izquierdo,4,886.71844,610.12507
1,hombro_derecho,4,939.7403,613.70401
1,rodilla_izquierda,4,938.79676,732.0223900000001
1,tobillo_izquierdo,4,971.5371049999999,766.3064125000001
1,talon_izquierdo,5,981.711119375,782.5871740625
1,cadera_izquierda,5,910.76603,705.9723
1,cadera_derecha,5,935.35933,697.05832
1,hombro_izquierdo,5,892.06793,613.50832
1,hombro_derecho,5,941.4691,619.58262
1,rodilla_izquierda,5,943.72809,738.72829
1,tobillo_izquierdo,5,976.3498143749999,772.9429865625
1,talon_izquierdo,6,986.81225375,788.815525625
1,cadera_izquierda,6,912.41615,708.00179
1,cadera_derecha,6,937.56598,698.57436
1,hombro_izquierdo,6,894.39531,613.74534
1,hombro_derecho,6,943.52486,621.44307
1,rodilla_izquierda,6,948.65942,745.43419
1,tobillo_izquierdo,6,981.16252375,779.579560625
1,talon_izquierdo,7,990.90717,793.3225
1,cadera_izquierda,7,912.12965,707.76355
1,cadera_derecha,7,938.04085,699.09952
1,hombro_izquierdo,7,895.71659,612.80247
1,hombro_derecho,7,944.44439,622.06098
1,rodilla_izquierda,7,949.50405,744.32794
1,tobillo_izquierdo,7,984.93748,784.39267
1,talon_izquierdo,8,994.69048,790.84684
1,cadera_izquierda,8,912.62094,706.67964
1,cadera_derecha,8,937.83377,699.00154
1,hombro_izquierdo,8,899.85558,611.96099
1,hombro_derecho,8,945.63709,622.10752
1,rodilla_izquierda,8,951.37693,742.21592
1,tobillo_izquierdo,8,989.68769,781.52125
1,talon_izquierdo,9,992.40784,790.98878
1,cadera_izquierda,9,912.23843,704.66367
1,cadera_derecha,9,938.08691,697.00559
1,hombro_izquierdo,9,905.67747,611.6527
1,hombro_derecho,9,947.40618,621.81553
1,rodilla_izquierda,9,952.48369,741.35564
