archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia1,diferencia2
1,0,122.597,119.062,59.125,45.742,3.535,13.383
1,1,124.483,125.414,57.455,43.487,-0.931,13.968
1,2,125.702,131.3,59.354,40.328,-5.598,19.026
1,3,121.152,126.268,57.162,43.26,-5.116,13.902
1,4,108.341,116.428,57.497,39.934,-8.087,17.563
1,5,100.511,104.867,56.521,41.244,-4.356,15.277
1,6,96.294,100.592,53.656,44.443,-4.298,9.213
1,7,93.907,102.573,55.567,45.341,-8.666,10.226
1,8,95.739,102.612,52.268,45.677,-6.873,6.591
1,9,96.987,112.329,51.251,44.99,-15.342,6.261
1,10,98.56,111.048,50.627,47.683,-12.488,2.944
1,11,103.303,114.27,49.284,47.312,-10.967,1.972
1,12,106.143,112.046,49.284,52.838,-5.903,-3.554
1,13,106.339,118.459,49.284,50.731,-12.12,-1.447
1,14,109.553,122.515,49.284,50.681,-12.962,-1.397
1,15,114.012,126.68,49.284,47.44,-12.668,1.844
1,16,116.545,128.119,49.284,44.581,-11.574,4.703
1,17,121.563,126.597,49.284,46.788,-5.034,2.496
2,0,120.176,124.743,61.113,48.94,-4.567,12.173
2,1,123.155,126.266,60.131,47.223,-3.111,12.908
2,2,125.278,126.964,55.505,48.73,-1.686,6.775
2,3,120.996,126.935,59.207,46.472,-5.939,12.735
2,4,113.836,119.96,49.516,43.56,-6.124,5.956
2,5,103.605,109.848,51.993,37.346,-6.243,14.647
2,6,94.937,98.053,41.621,40.568,-3.116,1.053
2,7,90.03,94.32,48.713,43.397,-4.29,5.316
2,8,87.965,101.918,50.098,50.213,-13.953,-0.115
2,9,88.592,107.509,52.698,47.408,-18.917,5.29
2,10,91.281,108.397,48.019,45.758,-17.116,2.261
2,11,91.784,109.225,48.541,42.147,-17.441,6.394
2,12,94.265,116.111,50.035,44.433,-21.846,5.602
2,13,93.903,112.093,52.064,43.955,-18.19,8.109
2,14,98.003,116.954,47.591,48.774,-18.951,-1.183
2,15,103.379,120.829,49.03,45.634,-17.45,3.396
2,16,108.563,126.75,50.415,46.568,-18.187,3.847
2,17,113.456,128.566,50.166,47.049,-15.11,3.117
5,0,118.399,119.714,58.861,42.87,-1.315,15.991
5,1,122.588,121.328,60.117,50.945,1.26,9.172
5,2,124.517,126.899,60.117,50.686,-2.382,9.431
5,3,122.271,123.466,51.665,47.137,-1.195,4.528
5,4,112.577,116.969,53.043,45.688,-4.392,7.355
5,5,106.841,107.599,49.293,44.409,-0.758,4.884
5,6,100.171,103.822,52.707,41.311,-3.651,11.396
5,7,98.468,107.509,44.787,47.285,-9.041,-2.498
5,8,97.644,106.813,44.469,47.022,-9.169,-2.553
5,9,98.114,116.572,45.0,46.459,-18.458,-1.459
5,10,99.243,117.833,45.0,45.108,-18.59,-0.108
5,11,100.158,118.26,45.0,50.372,-18.102,-5.372
5,12,100.728,114.888,45.0,53.715,-14.16,-8.715
5,13,104.801,121.688,45.0,49.073,-16.887,-4.073
5,14,110.788,121.543,45.0,49.082,-10.755,-4.082
5,15,108.99,125.106,45.0,47.325,-16.116,-2.325
5,16,112.153,123.756,45.0,47.803,-11.603,-2.803
6,0,112.85,126.356,45.716,45.605,-13.506,0.111
6,1,109.626,126.356,44.902,45.605,-16.73,-0.703
6,2,107.634,119.751,47.803,46.887,-12.117,0.916
6,3,108.294,118.964,46.531,49.333,-10.67,-2.802
6,4,109.973,126.092,48.379,51.258,-16.119,-2.879
6,5,112.642,124.833,47.229,51.184,-12.191,-3.955
6,6,114.307,128.101,51.649,49.504,-13.794,2.145
6,7,118.6,129.216,49.688,47.12,-10.616,2.568
6,8,120.308,137.358,49.534,47.047,-17.05,2.487
6,9,123.091,138.647,52.532,46.681,-15.556,5.851
6,10,127.569,141.152,52.901,45.897,-13.583,7.004
6,11,128.555,143.785,57.163,44.601,-15.23,12.562
8,0,119.918,122.423,55.485,45.438,-2.505,10.047
8,1,114.02,116.711,54.427,48.362,-2.691,6.065
8,2,112.975,113.27,46.63,46.664,-0.295,-0.034
8,3,111.415,114.812,46.55,47.603,-3.397,-1.053
8,4,109.55,123.492,44.702,48.077,-13.942,-3.375
8,5,110.206,130.472,42.935,46.07,-20.266,-3.135
8,6,110.255,133.444,42.935,42.957,-23.189,-0.022
8,7,110.8,134.881,42.935,43.543,-24.081,-0.608
8,8,116.296,139.441,42.935,59.824,-23.145,-16.889
8,9,119.133,139.102,42.935,49.436,-19.969,-6.501
8,10,123.095,141.949,42.935,49.545,-18.854,-6.61
8,11,126.99,139.737,42.935,48.763,-12.747,-5.828
8,12,128.805,133.143,42.935,46.814,-4.338,-3.879
8,13,129.195,135.746,42.935,46.754,-6.551,-3.819
8,14,127.381,138.586,42.935,46.423,-11.205,-3.488
9,0,112.898,119.374,48.937,47.862,-6.476,1.075
9,1,112.793,114.563,48.091,46.217,-1.77,1.874
9,2,107.307,118.507,49.879,44.84,-11.2,5.039
9,3,107.233,122.441,49.789,42.178,-15.208,7.611
9,4,108.084,125.553,54.067,38.247,-17.469,15.82
9,5,110.558,130.957,52.014,38.778,-20.399,13.236
9,6,113.557,127.921,53.729,36.422,-14.364,17.307
9,7,111.985,174.435,50.069,63.658,-62.45,-13.589
9,8,114.801,179.215,47.996,84.505,-64.414,-36.509
9,9,115.34,141.291,49.484,48.16,-25.951,1.324
9,10,116.584,136.823,51.387,43.325,-20.239,8.062
9,11,116.8,131.932,51.387,45.272,-15.132,6.115
9,12,117.978,129.073,50.646,45.537,-11.095,5.109
9,13,120.369,125.956,49.591,50.53,-5.587,-0.939
9,14,122.355,131.951,47.345,52.305,-9.596,-4.96
9,15,121.437,138.838,51.797,51.768,-17.401,0.029
9,16,118.465,137.797,46.909,50.018,-19.332,-3.109
13,0,141.43,145.598,64.551,57.845,-4.168,6.706
13,1,132.935,139.408,63.05,56.711,-6.473,6.339
13,2,131.973,133.499,55.426,54.692,-1.526,0.734
13,3,133.432,132.749,53.721,54.183,0.683,-0.462
13,4,136.704,131.475,53.721,53.081,5.229,0.64
13,5,138.197,133.542,54.018,47.385,4.655,6.633
13,6,139.446,140.726,49.531,45.329,-1.28,4.202
13,7,140.233,141.635,47.886,45.055,-1.402,2.831
13,8,137.359,137.17,48.36,45.41,0.189,2.95
13,9,140.62,134.841,47.93,45.606,5.779,2.324
14,0,132.535,137.587,46.048,49.307,-5.052,-3.259
14,1,129.408,138.209,42.916,48.78,-8.801,-5.864
14,2,132.205,134.582,38.843,48.074,-2.377,-9.231
14,3,135.571,134.311,38.843,48.392,1.26,-9.549
14,4,140.877,134.383,41.621,46.284,6.494,-4.663
14,5,142.653,147.104,43.114,47.757,-4.451,-4.643
14,6,145.101,144.864,43.114,48.161,0.237,-5.047
14,7,149.533,144.521,43.114,47.975,5.012,-4.861
15,0,138.571,144.89,52.264,55.394,-6.319,-3.13
15,1,133.717,139.165,49.844,55.845,-5.448,-6.001
15,2,133.278,133.279,46.351,55.866,-0.001,-9.515
15,3,135.754,128.058,46.351,55.954,7.696,-9.603
15,4,138.8,131.851,44.733,52.322,6.949,-7.589
15,5,136.918,133.476,61.308,51.77,3.442,9.538
15,6,135.811,131.977,53.597,52.069,3.834,1.528
15,7,134.857,135.187,60.782,52.101,-0.33,8.681
16,0,141.616,150.034,65.315,56.166,-8.418,9.149
16,1,134.437,141.721,63.709,56.881,-7.284,6.828
16,2,132.471,138.405,57.849,55.69,-5.934,2.159
16,3,133.95,136.064,55.661,54.178,-2.114,1.483
16,4,137.397,134.723,55.661,53.928,2.674,1.733
16,5,140.073,134.68,61.296,50.88,5.393,10.416
16,6,142.473,138.251,51.881,53.639,4.222,-1.758
16,7,142.953,139.243,51.881,53.747,3.71,-1.866
16,8,144.973,141.605,51.881,54.221,3.368,-2.34
16,9,147.954,143.428,51.881,66.847,4.526,-14.966
17,0,144.945,149.276,58.695,60.942,-4.331,-2.247
17,1,138.366,143.4,58.759,60.954,-5.034,-2.195
17,2,136.202,139.253,56.353,59.707,-3.051,-3.354
