archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia1,diferencia2
1,0,127.264,136.092,65.634,63.387,-8.828,2.247
1,1,115.353,128.054,78.112,66.642,-12.701,11.47
1,2,101.338,116.094,65.265,66.356,-14.756,-1.091
1,3,92.911,106.944,69.84,60.555,-14.033,9.285
1,4,83.408,95.786,70.88,72.657,-12.378,-1.777
1,5,74.912,88.359,76.692,71.525,-13.447,5.167
1,6,69.762,77.938,88.575,79.138,-8.176,9.437
1,7,69.42,70.914,110.732,90.571,-1.494,20.161
1,8,67.154,67.523,77.096,86.166,-0.369,-9.07
1,9,76.504,74.609,74.948,61.377,1.895,13.571
1,10,104.847,99.841,62.726,57.601,5.006,5.125
1,11,145.611,146.451,71.936,71.491,-0.84,0.445
1,12,170.17,167.439,74.129,79.448,2.731,-5.319
1,13,179.694,179.119,70.504,67.462,0.575,3.042
1,14,177.216,178.421,65.372,54.254,-1.205,11.118
2,0,132.519,144.582,72.488,60.758,-12.063,11.73
2,1,125.477,138.06,83.107,63.567,-12.583,19.54
2,2,118.055,129.753,80.079,75.945,-11.698,4.134
2,3,108.005,119.759,68.186,64.07,-11.754,4.116
2,4,100.446,110.893,74.946,70.8,-10.447,4.146
2,5,90.678,108.212,71.826,74.453,-17.534,-2.627
2,6,82.652,94.131,74.778,82.486,-11.479,-7.708
2,7,73.949,81.231,70.56,95.969,-7.282,-25.409
2,8,65.189,63.097,99.8,89.044,2.092,10.756
2,9,67.14,59.952,80.527,91.672,7.188,-11.145
2,10,74.747,66.143,58.069,79.522,8.604,-21.453
2,11,100.952,97.615,66.927,123.236,3.337,-56.309
2,12,145.187,141.984,70.074,64.957,3.203,5.117
2,13,170.786,169.412,71.911,75.341,1.374,-3.43
2,14,179.356,177.982,71.763,34.341,1.374,37.422
5,0,131.253,149.902,70.825,57.63,-18.649,13.195
5,1,123.609,142.212,75.069,60.856,-18.603,14.213
5,2,113.007,129.817,81.643,69.273,-16.81,12.37
5,3,104.953,118.362,71.8,70.672,-13.409,1.128
5,4,94.149,107.711,74.59,71.855,-13.562,2.735
5,5,87.813,94.868,75.687,77.477,-7.055,-1.79
5,6,78.561,84.835,77.358,92.979,-6.274,-15.621
5,7,72.569,76.92,105.975,90.512,-4.351,15.463
5,8,71.24,72.154,93.088,92.583,-0.914,0.505
5,9,72.644,75.982,77.038,82.409,-3.338,-5.371
5,10,94.861,90.149,60.685,62.007,4.712,-1.322
5,11,133.811,133.103,70.423,61.287,0.708,9.136
5,12,164.836,167.436,76.601,69.874,-2.6,6.727
5,13,178.698,175.646,68.796,68.603,3.052,0.193
5,14,179.398,179.398,77.958,63.463,0.0,14.495
6,0,80.431,93.407,73.139,86.016,-12.976,-12.877
6,1,72.322,83.032,69.097,85.548,-10.71,-16.451
6,2,68.302,73.351,95.34,93.534,-5.049,1.806
6,3,69.209,69.67,88.385,88.534,-0.461,-0.149
6,4,78.118,73.894,82.891,78.011,4.224,4.88
6,5,106.486,98.64,70.59,60.164,7.846,10.426
6,6,146.942,135.48,72.588,69.046,11.462,3.542
6,7,170.147,170.686,85.811,70.099,-0.539,15.712
6,8,179.932,179.056,79.581,67.227,0.876,12.354
6,9,177.035,176.788,66.774,55.412,0.247,11.362
8,0,69.046,77.851,94.458,93.168,-8.805,1.29
8,1,61.383,68.531,83.742,89.301,-7.148,-5.559
8,2,63.144,65.982,81.719,82.671,-2.838,-0.952
8,3,71.87,70.544,66.649,62.314,1.326,4.335
8,4,99.499,118.176,66.28,55.057,-18.677,11.223
8,5,141.093,150.134,76.799,57.745,-9.041,19.054
8,6,173.283,168.993,69.104,71.689,4.29,-2.585
8,7,179.75,179.053,81.412,64.999,0.697,16.413
8,8,179.677,177.644,72.195,54.622,2.033,17.573
9,0,70.986,82.923,86.539,96.588,-11.937,-10.049
9,1,65.181,69.269,94.818,96.214,-4.088,-1.396
9,2,65.13,67.539,88.728,45.15,-2.409,43.578
9,3,75.5,72.818,75.365,79.284,2.682,-3.919
9,4,106.638,103.31,65.403,59.008,3.328,6.395
9,5,147.334,147.958,67.319,60.638,-0.624,6.681
9,6,172.629,164.599,84.237,66.369,8.03,17.868
9,7,175.983,174.406,87.1,37.537,1.577,49.563
9,8,174.485,176.412,79.221,54.265,-1.927,24.956
13,0,64.887,70.812,97.543,78.059,-5.925,19.484
13,1,58.859,60.271,88.672,76.191,-1.412,12.481
13,2,60.325,59.962,76.332,61.846,0.363,14.486
13,3,73.05,80.735,61.007,51.566,-7.685,9.441
13,4,106.348,113.18,60.576,52.561,-6.832,8.015
13,5,144.166,148.384,74.854,76.39,-4.218,-1.536
14,0,70.414,73.432,96.396,80.486,-3.018,15.91
14,1,66.252,65.935,95.257,81.647,0.317,13.61
14,2,67.471,67.183,79.675,66.953,0.288,12.722
14,3,85.537,88.606,63.226,60.22,-3.069,3.006
14,4,121.731,126.118,67.881,58.448,-4.387,9.433
14,5,158.648,148.11,91.487,65.601,10.538,25.886
15,0,66.185,65.749,94.766,86.35,0.436,8.416
15,1,62.803,62.535,80.555,72.244,0.268,8.311
15,2,71.755,73.554,62.015,56.331,-1.799,5.684
15,3,103.004,109.11,71.285,53.859,-6.106,17.426
15,4,138.012,143.521,82.376,60.157,-5.509,22.219
15,5,167.703,166.992,87.686,73.192,0.711,14.494
16,0,72.279,78.628,95.018,85.897,-6.349,9.121
16,1,67.824,68.216,89.673,76.879,-0.392,12.794
16,2,69.938,71.935,73.531,63.375,-1.997,10.156
16,3,88.209,90.009,63.748,57.238,-1.8,6.51
16,4,121.127,105.257,76.418,58.422,15.87,17.996
16,5,159.474,146.8,88.174,48.378,12.674,39.796
16,6,166.696,173.943,96.614,84.309,-7.247,12.305
16,7,178.918,174.749,91.909,153.115,4.169,-61.206
17,0,67.736,74.1,87.738,73.942,-6.364,13.796
17,1,61.831,63.531,76.923,71.309,-1.7,5.614
17,2,64.932,68.1,70.05,63.345,-3.168,6.705
17,3,85.474,91.842,64.018,57.938,-6.368,6.08
17,4,118.422,126.72,70.333,64.577,-8.298,5.756
17,5,151.374,152.739,80.283,55.502,-1.365,24.781
17,6,168.769,167.247,87.554,93.487,1.522,-5.933
18,0,73.107,77.782,88.247,80.854,-4.675,7.393
18,1,69.843,74.758,81.428,66.01,-4.915,15.418
18,2,76.239,82.022,68.795,59.905,-5.783,8.89
18,3,102.478,105.343,70.646,58.174,-2.865,12.472
18,4,136.637,136.128,78.405,62.832,0.509,15.573
18,5,162.377,157.46,103.04,72.15,4.917,30.89
18,6,171.811,172.587,97.061,69.767,-0.776,27.294
19,0,64.165,64.159,99.345,92.292,0.006,7.053
19,1,58.676,59.246,97.134,73.855,-0.57,23.279
19,2,63.723,67.431,70.465,60.139,-3.708,10.326
19,3,86.604,93.964,58.547,58.808,-7.36,-0.261
19,4,118.564,132.455,71.765,61.173,-13.891,10.592
